ID,Text
NDS_007-m-z.eaf,Ну кто же это сверкал?
NDS_007-m-z.eaf,И я пошёл к тому же дереву
NDS_007-m-z.eaf,где была большая дыра.
NDS_007-m-z.eaf,И вдруг я туда заглянул
NDS_007-m-z.eaf,а там какой-то а там какой-то маленькое маленькая маленькое маленькая ма маленький котёнок сидел.
NDS_007-m-z.eaf,И
NDS_007-m-z.eaf,И его глаза сверкали.
NDS_007-m-z.eaf,Всё.
NDS_008-m-z.eaf,Я с я с дедом сидел один одни на диване
NDS_008-m-z.eaf,дома никого не было
NDS_008-m-z.eaf,и вдруг я увидел
NDS_008-m-z.eaf,что к нам идёт к нам приехала мама
NDS_008-m-z.eaf,и и дед обрадовался
NDS_008-m-z.eaf,и я
NDS_008-m-z.eaf,но это была не мама
NDS_008-m-z.eaf,а а бабушка
NDS_008-m-z.eaf,и бабушка зашла к нам домой
NDS_008-m-z.eaf,и
NDS_008-m-z.eaf,а я а я ээ сидел на диване
NDS_008-m-z.eaf,и думал:
NDS_008-m-z.eaf,А когда мама приедет?
NDS_008-m-z.eaf,А она должна была приехать.
NDS_008-m-z.eaf,А бабушка пришла
NDS_008-m-z.eaf,и сказала:
NDS_008-m-z.eaf,что что мама не приедет.
NDS_008-m-z.eaf,Всё.
NDS_011-m-z.eaf,что я вырос
NDS_011-m-z.eaf,и чего-то ээ дедушка мне отдал свою машину
NDS_011-m-z.eaf,а себе купил новую
NDS_011-m-z.eaf,только лучше
NDS_011-m-z.eaf,какую-то там
NDS_011-m-z.eaf,уж не помню
NDS_011-m-z.eaf,“Жигули” кажется
NDS_011-m-z.eaf,семёрку.
NDS_011-m-z.eaf,Ну вот
NDS_011-m-z.eaf,и мы значит стали
NDS_011-m-z.eaf,у нас
NDS_011-m-z.eaf,мы стали жить на третьей Шацкой
NDS_011-m-z.eaf,у нас там было два гаража
NDS_011-m-z.eaf,там это с удобствами всё
NDS_011-m-z.eaf,мы там отделали с дедушкой
NDS_011-m-z.eaf,это как-то там
NDS_011-m-z.eaf,Вот
NDS_011-m-z.eaf,значит
NDS_011-m-z.eaf,мы там жили жили...
NDS_011-m-z.eaf,Ну вот
NDS_011-m-z.eaf,значит
NDS_011-m-z.eaf,потом я это стал у меня уже ээ другая кажется машина стала
NDS_011-m-z.eaf,чего-то я не помню уже этот сон
NDS_011-m-z.eaf,другая кажется машина стала
NDS_011-m-z.eaf,вот
NDS_011-m-z.eaf,и это значит
NDS_011-m-z.eaf,значит
NDS_011-m-z.eaf,ээ ну
NDS_011-m-z.eaf,и потом чего-то он кончился
NDS_011-m-z.eaf,и другой кажется начался.
NDS_011-m-z.eaf,Чего-то я его уже с отрывками помню с какими-то.
NDS_019-m-z.eaf,Сон снился
NDS_019-m-z.eaf,как я в классе был
NDS_019-m-z.eaf,там и про класс про школу
NDS_019-m-z.eaf,про про друзей...
NDS_019-m-z.eaf,Ну я там помню
NDS_019-m-z.eaf,что я там ну с моим другом разговаривал я...
NDS_019-m-z.eaf,Ну вот
NDS_019-m-z.eaf,потом ну потом мы там чего-то на физкультуре были
NDS_019-m-z.eaf,играли там.
NDS_019-m-z.eaf,Ну вот чего-то.
NDS_019-m-z.eaf,Ну мы там вот так:
NDS_019-m-z.eaf,школа там
NDS_019-m-z.eaf,я класс ви класс ну ви ну видел там
NDS_019-m-z.eaf,там друзей...
NDS_020-m-z.eaf,Я подтягивался на турнике...
NDS_020-m-z.eaf,Потом я падаю вот
NDS_020-m-z.eaf,и турник
NDS_020-m-z.eaf,оказывается
NDS_020-m-z.eaf,оказался очень высоким!
NDS_020-m-z.eaf,И я падаю падаю падаю
NDS_020-m-z.eaf,думаю:
NDS_020-m-z.eaf,Разобьюсь сейчас!
NDS_020-m-z.eaf,А спускаюсь
NDS_020-m-z.eaf,прям страх
NDS_020-m-z.eaf,так что ногу прям свело там у меня!
NDS_020-m-z.eaf,Я опускаюсь-опускаюсь
NDS_020-m-z.eaf,вроде всё медленней.
NDS_020-m-z.eaf,А потом когда я проснулся
NDS_020-m-z.eaf,я обнаружил
NDS_020-m-z.eaf,что у меня ногу свело.
NDS_021-m-z.eaf,Мы с папой едем на машине.
NDS_021-m-z.eaf,Мы заехали на полянку на берёзовую
NDS_021-m-z.eaf,погуляли там...
NDS_021-m-z.eaf,Потом папа случайно заехал эээ ну в какой-то довольно старинный город.
NDS_021-m-z.eaf,А нам открыли ворота.
NDS_021-m-z.eaf,Заходим
NDS_021-m-z.eaf,а там неме
NDS_021-m-z.eaf,а там стоит отряд немцев.
NDS_021-m-z.eaf,А
NDS_021-m-z.eaf,Один немец подошёл ко мне...
NDS_021-m-z.eaf,Я ему говорю:
NDS_021-m-z.eaf,Гутен таг!
NDS_021-m-z.eaf,он мне говорит:
NDS_021-m-z.eaf,Гутен таг!.
NDS_021-m-z.eaf,Потом сказал мне два слова на русском
NDS_021-m-z.eaf,Я уж к не помню какие.
NDS_021-m-z.eaf,ээ а потом мы уехали.
NDS_023-m-z.eaf,нилось
NDS_023-m-z.eaf,как будто там я ехал
NDS_023-m-z.eaf,и подружился как будто с одной дев ну девочкой.
NDS_023-m-z.eaf,Как будто она меня привезла к себе домой там
NDS_023-m-z.eaf,такое большое здание.
NDS_023-m-z.eaf,Там ну новые всякие большие комнаты были
NDS_023-m-z.eaf,и одна она круглая была.
NDS_023-m-z.eaf,И высокая.
NDS_023-m-z.eaf,Там как будто мы прыгали всь
NDS_024-f-z.eaf,Сон это
NDS_024-f-z.eaf,то что я ээ к папе в теплицу поехала
NDS_024-f-z.eaf,и мама мне показывала там жёлтый дым.
NDS_024-f-z.eaf,И малиновый.
NDS_024-f-z.eaf,Мама дала мне химические разные стеклянные штуки
NDS_024-f-z.eaf,и дома она мне показывает
NDS_024-f-z.eaf,то что умеет.
NDS_024-f-z.eaf,Да.
NDS_025-f-z.eaf,У меня есть подружки-двойняшки.
NDS_025-f-z.eaf,И мне приснилось
NDS_025-f-z.eaf,что мы поехали ко мне на дачу
NDS_025-f-z.eaf,в Звенигород.
NDS_025-f-z.eaf,Там у нас был домик.
NDS_025-f-z.eaf,Нас четверо:
NDS_025-f-z.eaf,сестрёнка я и двойняшки
NDS_025-f-z.eaf,домик был около речки
NDS_025-f-z.eaf,рядом были родники
NDS_025-f-z.eaf,и лес.
NDS_025-f-z.eaf,В лесу были ягоды и грибы.
NDS_025-f-z.eaf,А когда мы выросли
NDS_025-f-z.eaf,то мы стали остались в этом домике
NDS_025-f-z.eaf,и стали все вместе в нём жить.
NDS_025-f-z.eaf,У нас был огородик
NDS_025-f-z.eaf,и качели.
NDS_025-f-z.eaf,Там площадка
NDS_025-f-z.eaf,специально для игр.
NDS_025-f-z.eaf,Был огород
NDS_025-f-z.eaf,сад
NDS_025-f-z.eaf,клумба.
NDS_025-f-z.eaf,Семена были у меня!
NDS_025-f-z.eaf,Мы там разделились по специальностям:
NDS_025-f-z.eaf,моя сестрёнка
NDS_025-f-z.eaf,Оля
NDS_025-f-z.eaf,она пропалывала грядки
NDS_025-f-z.eaf,я сажала
NDS_025-f-z.eaf,а с двойняшки
NDS_025-f-z.eaf,они огораживали
NDS_025-f-z.eaf,там где посажено
NDS_025-f-z.eaf,ставили колышки
NDS_025-f-z.eaf,ставили колышки
NDS_025-f-z.eaf,и на клумбе они поливали цветы.
NDS_025-f-z.eaf,Я сажала цветы.
NDS_026-m-z.eaf,Ну ээ там мы с сестрёнкой как-то гуляем
NDS_026-m-z.eaf,ээ по улице
NDS_026-m-z.eaf,ей надо было на тренировку пойти
NDS_026-m-z.eaf,ну вот
NDS_026-m-z.eaf,мм одна тётенька проходит мимо
NDS_026-m-z.eaf,Я ей ну как бы сказал
NDS_026-m-z.eaf,что ей надо куда-то зайти.
NDS_026-m-z.eaf,мм Она тоже не вспомнила куда
NDS_026-m-z.eaf,мм я тоже не знал куда
NDS_026-m-z.eaf,мы приб побежали её догонять!
NDS_026-m-z.eaf,Но на улице было много людей
NDS_026-m-z.eaf,Раньше этого не было как бы...
NDS_026-m-z.eaf,все ээ по улицам ходили
NDS_026-m-z.eaf,играли
NDS_026-m-z.eaf,и эта тётенька уже ушла.
NDS_026-m-z.eaf,мм Вдруг
NDS_026-m-z.eaf,Вот когда обратно уже бежали
NDS_026-m-z.eaf,ммм Сейчас.
NDS_026-m-z.eaf,она это
NDS_026-m-z.eaf,она бежала
NDS_026-m-z.eaf,ударилась об ээ сейчас обо что-то
NDS_026-m-z.eaf,ну
NDS_026-m-z.eaf,ну да
NDS_026-m-z.eaf,обо что-то
NDS_026-m-z.eaf,потом упала
NDS_026-m-z.eaf,не знаю
NDS_026-m-z.eaf,из носа текл текла кровь
NDS_026-m-z.eaf,я подошёл
NDS_026-m-z.eaf,испугался
NDS_026-m-z.eaf,и ну потом он закончился.
NDS_027-f-z.eaf,зжала ко мне бабушка
NDS_027-f-z.eaf,ну вот
NDS_027-f-z.eaf,ээ В обед
NDS_027-f-z.eaf,когда мы уже ложились спать.
NDS_027-f-z.eaf,она мне привезла
NDS_027-f-z.eaf,ну
NDS_027-f-z.eaf,привезла она мне какие-то подарки не подарки
NDS_027-f-z.eaf,не помню.
NDS_027-f-z.eaf,А за ней какая-то машина что ли ехала
NDS_027-f-z.eaf,вот
NDS_027-f-z.eaf,я бабушке говорю:
NDS_027-f-z.eaf,Бабушка
NDS_027-f-z.eaf,А что это такое?
NDS_027-f-z.eaf,Она говорит:
NDS_027-f-z.eaf,Ну может быть это к твоим подружкам или к другой палате приехала...
NDS_029-m-z.eaf,Ну к я как будто бы стоял возле окна
NDS_029-m-z.eaf,и смотрел на улицу.
NDS_029-m-z.eaf,Эт
NDS_029-m-z.eaf,Ну
NDS_029-m-z.eaf,и тут эээ н ну начался
NDS_029-m-z.eaf,А я а у меня б а было открытое окно.
NDS_029-m-z.eaf,Начался сильный ветер.
NDS_029-m-z.eaf,Я его закрыл.
NDS_029-m-z.eaf,А у меня д ну домашнее задание не было выучено.
NDS_029-m-z.eaf,И эээ ээ ээ ммм я захотел пойти на улицу
NDS_029-m-z.eaf,гулять.
NDS_029-m-z.eaf,И пошёл
NDS_029-m-z.eaf,гулял ээ др много с друзьями
NDS_029-m-z.eaf,а пот
NDS_029-m-z.eaf,ну
NDS_029-m-z.eaf,увлёкся
NDS_029-m-z.eaf,и не следил за временем.
NDS_029-m-z.eaf,Тут ээ я пришёл домой
NDS_029-m-z.eaf,и раздался звонок.
NDS_029-m-z.eaf,Я поднял трубку
NDS_029-m-z.eaf,и ну мама мне говорила
NDS_029-m-z.eaf,что Мы сейчас придём через минут десять.
NDS_029-m-z.eaf,Я тогда посмотрел на время
NDS_029-m-z.eaf,и увидел
NDS_029-m-z.eaf,что ну я перегулял.
NDS_029-m-z.eaf,Я бросился делать уроки
NDS_029-m-z.eaf,н но тут ээ раздался звонок в дверь.
NDS_029-m-z.eaf,ээ Я посмотрел в глазок
NDS_029-m-z.eaf,и там зашли родители.
NDS_029-m-z.eaf,А я
NDS_029-m-z.eaf,ну с недоделанными у ну уроками
NDS_029-m-z.eaf,ээ извинился перед ними
NDS_029-m-z.eaf,и они меня простили.
NDS_033-m-z.eaf,Шли мы по ль лесу вот
NDS_033-m-z.eaf,и я нашёл много грибов.
NDS_033-m-z.eaf,Чем мои братья.
NDS_033-m-z.eaf,И говорю:
NDS_033-m-z.eaf,Вот у меня сколько грибов!
NDS_033-m-z.eaf,Вот и всё.
NDS_035-m-z.eaf,пошёл внутрь.
NDS_035-m-z.eaf,Ну не знаю
NDS_035-m-z.eaf,откуда возвращался
NDS_035-m-z.eaf,мы з мы зашли в магазин.
NDS_035-m-z.eaf,Ну
NDS_035-m-z.eaf,и она чего-то покупала
NDS_035-m-z.eaf,а я заш
NDS_035-m-z.eaf,У меня деньги были
NDS_035-m-z.eaf,тысяча
NDS_035-m-z.eaf,и я на эт ээ на эти деньги купил это кассету.
NDS_035-m-z.eaf,Всь
